episode,clip,shot_num,#_frames_extrac,mem_score,duration
s01e07,clip_0_0-4547,0-110-.mp4,14,0.858,4.4
s01e07,clip_0_0-4547,111-192-.mp4,11,0.745,3.2
s01e07,clip_0_0-4547,193-268-.mp4,10,0.732,3
s01e07,clip_0_0-4547,269-274-.mp4,0,0,0.2
s01e07,clip_0_0-4547,275-662-.mp4,49,0.835,15.5
s01e07,clip_0_0-4547,663-858-.mp4,25,0.726,7.8
s01e07,clip_0_0-4547,859-902-.mp4,6,0.869,1.7
s01e07,clip_0_0-4547,903-973-.mp4,9,0.755,2.8
s01e07,clip_0_0-4547,974-1177-.mp4,26,0.793,8.1
s01e07,clip_0_0-4547,1178-1220-.mp4,6,0.775,1.7
s01e07,clip_0_0-4547,1221-1275-.mp4,7,0.823,2.2
s01e07,clip_0_0-4547,1276-1434-.mp4,20,0.752,6.3
s01e07,clip_0_0-4547,1435-1760-.mp4,41,0.769,13
s01e07,clip_0_0-4547,1761-1925-.mp4,21,0.781,6.6
s01e07,clip_0_0-4547,1926-2084-.mp4,20,0.797,6.3
s01e07,clip_0_0-4547,2085-2121-.mp4,5,0.784,1.4
s01e07,clip_0_0-4547,2122-2173-.mp4,7,0.848,2
s01e07,clip_0_0-4547,2174-2273-.mp4,13,0.804,4
s01e07,clip_0_0-4547,2274-2342-.mp4,9,0.792,2.7
s01e07,clip_0_0-4547,2343-2418-.mp4,10,0.788,3
s01e07,clip_0_0-4547,2419-2445-.mp4,4,0.822,1
s01e07,clip_0_0-4547,2446-2509-.mp4,8,0.838,2.5
s01e07,clip_0_0-4547,2510-2725-.mp4,27,0.895,8.6
s01e07,clip_0_0-4547,2726-2778-.mp4,7,0.936,2.1
s01e07,clip_0_0-4547,2779-2800-.mp4,4,0.891,0.8
s01e07,clip_0_0-4547,2801-2835-.mp4,5,0.883,1.4
s01e07,clip_0_0-4547,2836-2852-.mp4,4,0.944,0.6
s01e07,clip_0_0-4547,2853-2860-.mp4,4,0.924,0.3
s01e07,clip_0_0-4547,2861-2877-.mp4,4,0.944,0.6
s01e07,clip_0_0-4547,2878-2910-.mp4,5,0.93,1.3
s01e07,clip_0_0-4547,2911-2946-.mp4,5,0.87,1.4
s01e07,clip_0_0-4547,2947-2962-.mp4,4,0.884,0.6
s01e07,clip_0_0-4547,2963-2974-.mp4,4,0.947,0.4
s01e07,clip_0_0-4547,2975-2998-.mp4,4,0.927,0.9
s01e07,clip_0_0-4547,2999-3015-.mp4,4,0.751,0.6
s01e07,clip_0_0-4547,3016-3026-.mp4,4,0.853,0.4
s01e07,clip_0_0-4547,3027-3069-.mp4,6,0.932,1.7
s01e07,clip_0_0-4547,3070-3078-.mp4,5,0.914,0.3
s01e07,clip_0_0-4547,3079-3090-.mp4,4,0.887,0.4
s01e07,clip_0_0-4547,3091-3102-.mp4,4,0.917,0.4
s01e07,clip_0_0-4547,3103-3140-.mp4,5,0.936,1.5
s01e07,clip_0_0-4547,3141-3149-.mp4,5,0.908,0.3
s01e07,clip_0_0-4547,3150-3162-.mp4,4,0.843,0.5
s01e07,clip_0_0-4547,3163-3170-.mp4,4,0.899,0.3
s01e07,clip_0_0-4547,3171-3209-.mp4,5,0.883,1.5
s01e07,clip_0_0-4547,3210-3232-.mp4,4,0.93,0.9
s01e07,clip_0_0-4547,3233-3244-.mp4,4,0.982,0.4
s01e07,clip_0_0-4547,3245-3278-.mp4,5,0.908,1.3
s01e07,clip_0_0-4547,3279-3328-.mp4,7,0.886,2
s01e07,clip_0_0-4547,3329-3446-.mp4,15,0.895,4.7
s01e07,clip_0_0-4547,3447-4044-.mp4,75,0.807,23.9
s01e07,clip_0_0-4547,4045-4174-.mp4,17,0.795,5.2
s01e07,clip_0_0-4547,4175-4284-.mp4,14,0.909,4.4
s01e07,clip_0_0-4547,4285-4361-.mp4,10,0.846,3
s01e07,clip_0_0-4547,4362-4393-.mp4,4,0.783,1.2
s01e07,clip_0_0-4547,4394-4441-.mp4,6,0.777,1.9
s01e07,clip_0_0-4547,4442-4465-.mp4,4,0.838,0.9
s01e07,clip_0_0-4547,4466-4490-.mp4,4,0.767,1
s01e07,clip_0_0-4547,4491-4547-.mp4,8,0.761,2.2
s01e07,clip_1_4548-9194,4548-4690-.mp4,18,0.727,5.7
s01e07,clip_1_4548-9194,4691-4735-.mp4,6,0.802,1.8
s01e07,clip_1_4548-9194,4736-4976-.mp4,31,0.744,9.6
s01e07,clip_1_4548-9194,4977-5015-.mp4,5,0.812,1.5
s01e07,clip_1_4548-9194,5016-5292-.mp4,35,0.82,11
s01e07,clip_1_4548-9194,5293-5372-.mp4,10,0.832,3.2
s01e07,clip_1_4548-9194,5373-5572-.mp4,25,0.868,8
s01e07,clip_1_4548-9194,5573-5678-.mp4,14,0.963,4.2
s01e07,clip_1_4548-9194,5679-5812-.mp4,17,0.875,5.3
s01e07,clip_1_4548-9194,5813-5903-.mp4,12,0.863,3.6
s01e07,clip_1_4548-9194,5904-5994-.mp4,12,0.896,3.6
s01e07,clip_1_4548-9194,5995-6072-.mp4,10,0.811,3.1
s01e07,clip_1_4548-9194,6073-6088-.mp4,4,0.892,0.6
s01e07,clip_1_4548-9194,6089-6143-.mp4,7,0.824,2.2
s01e07,clip_1_4548-9194,6144-6214-.mp4,9,0.844,2.8
s01e07,clip_1_4548-9194,6215-6256-.mp4,6,0.822,1.6
s01e07,clip_1_4548-9194,6257-6328-.mp4,9,0.85,2.8
s01e07,clip_1_4548-9194,6329-6416-.mp4,11,0.848,3.5
s01e07,clip_1_4548-9194,6417-6472-.mp4,7,0.833,2.2
s01e07,clip_1_4548-9194,6473-6496-.mp4,4,0.908,0.9
s01e07,clip_1_4548-9194,6497-6579-.mp4,11,0.912,3.3
s01e07,clip_1_4548-9194,6580-6628-.mp4,7,0.778,1.9
s01e07,clip_1_4548-9194,6629-6759-.mp4,17,0.835,5.2
s01e07,clip_1_4548-9194,6760-6847-.mp4,11,0.996,3.5
s01e07,clip_1_4548-9194,6848-6900-.mp4,7,0.84,2.1
s01e07,clip_1_4548-9194,6901-6931-.mp4,4,0.906,1.2
s01e07,clip_1_4548-9194,6932-6988-.mp4,8,0.871,2.2
s01e07,clip_1_4548-9194,6989-7083-.mp4,12,0.849,3.8
s01e07,clip_1_4548-9194,7084-7151-.mp4,9,0.931,2.7
s01e07,clip_1_4548-9194,7152-7182-.mp4,4,0.936,1.2
s01e07,clip_1_4548-9194,7183-7256-.mp4,10,0.908,2.9
s01e07,clip_1_4548-9194,7257-7326-.mp4,9,0.933,2.8
s01e07,clip_1_4548-9194,7327-7459-.mp4,17,0.734,5.3
s01e07,clip_1_4548-9194,7460-7536-.mp4,10,0.831,3
s01e07,clip_1_4548-9194,7537-7567-.mp4,4,0.87,1.2
s01e07,clip_1_4548-9194,7568-7604-.mp4,5,0.941,1.4
s01e07,clip_1_4548-9194,7605-7690-.mp4,11,0.84,3.4
s01e07,clip_1_4548-9194,7691-7793-.mp4,13,0.831,4.1
s01e07,clip_1_4548-9194,7794-7838-.mp4,6,0.835,1.8
s01e07,clip_1_4548-9194,7839-7911-.mp4,10,0.89,2.9
s01e07,clip_1_4548-9194,7912-8123-.mp4,27,0.903,8.4
s01e07,clip_1_4548-9194,8124-8203-.mp4,10,0.819,3.2
s01e07,clip_1_4548-9194,8204-8280-.mp4,10,0.874,3
s01e07,clip_1_4548-9194,8281-8340-.mp4,8,0.957,2.4
s01e07,clip_1_4548-9194,8341-8407-.mp4,9,0.949,2.6
s01e07,clip_1_4548-9194,8408-8454-.mp4,6,0.91,1.8
s01e07,clip_1_4548-9194,8455-8491-.mp4,5,0.872,1.4
s01e07,clip_1_4548-9194,8492-8772-.mp4,36,0.91,11.2
s01e07,clip_1_4548-9194,8773-8816-.mp4,6,0.865,1.7
s01e07,clip_1_4548-9194,8817-8874-.mp4,8,0.937,2.3
s01e07,clip_1_4548-9194,8875-8923-.mp4,7,0.794,1.9
s01e07,clip_1_4548-9194,8924-8964-.mp4,6,0.781,1.6
s01e07,clip_1_4548-9194,8965-9020-.mp4,7,0.814,2.2
s01e07,clip_1_4548-9194,9021-9194-.mp4,22,0.798,6.9
s01e07,clip_2_9195-13779,9195-9562-.mp4,46,0.802,14.7
s01e07,clip_2_9195-13779,9563-10352-.mp4,99,0.791,31.6
s01e07,clip_2_9195-13779,10353-10618-.mp4,34,0.83,10.6
s01e07,clip_2_9195-13779,10619-10718-.mp4,13,0.805,4
s01e07,clip_2_9195-13779,10719-10756-.mp4,5,0.93,1.5
s01e07,clip_2_9195-13779,10757-10890-.mp4,17,0.82,5.3
s01e07,clip_2_9195-13779,10891-10970-.mp4,10,0.834,3.2
s01e07,clip_2_9195-13779,10971-11009-.mp4,5,0.815,1.5
s01e07,clip_2_9195-13779,11010-11157-.mp4,19,0.839,5.9
s01e07,clip_2_9195-13779,11158-11238-.mp4,11,0.839,3.2
s01e07,clip_2_9195-13779,11239-11285-.mp4,6,0.896,1.8
s01e07,clip_2_9195-13779,11286-11342-.mp4,8,0.851,2.2
s01e07,clip_2_9195-13779,11343-11405-.mp4,8,0.908,2.5
s01e07,clip_2_9195-13779,11406-11470-.mp4,9,0.844,2.6
s01e07,clip_2_9195-13779,11471-12214-.mp4,93,0.824,29.7
s01e07,clip_2_9195-13779,12215-12822-.mp4,76,0.837,24.3
s01e07,clip_2_9195-13779,12823-12906-.mp4,11,0.895,3.3
s01e07,clip_2_9195-13779,12907-12940-.mp4,5,0.874,1.3
s01e07,clip_2_9195-13779,12941-12980-.mp4,5,0.93,1.6
s01e07,clip_2_9195-13779,12981-13030-.mp4,7,0.877,2
s01e07,clip_2_9195-13779,13031-13121-.mp4,12,0.902,3.6
s01e07,clip_2_9195-13779,13122-13156-.mp4,5,0.881,1.4
s01e07,clip_2_9195-13779,13157-13198-.mp4,6,0.894,1.6
s01e07,clip_2_9195-13779,13199-13228-.mp4,4,0.906,1.2
s01e07,clip_2_9195-13779,13229-13262-.mp4,5,0.922,1.3
s01e07,clip_2_9195-13779,13263-13298-.mp4,5,0.943,1.4
s01e07,clip_2_9195-13779,13299-13374-.mp4,10,0.85,3
s01e07,clip_2_9195-13779,13375-13406-.mp4,4,0.876,1.2
s01e07,clip_2_9195-13779,13407-13448-.mp4,6,0.845,1.6
s01e07,clip_2_9195-13779,13449-13496-.mp4,6,0.945,1.9
s01e07,clip_2_9195-13779,13497-13594-.mp4,13,0.831,3.9
s01e07,clip_2_9195-13779,13595-13641-.mp4,6,0.882,1.8
s01e07,clip_2_9195-13779,13642-13729-.mp4,11,0.905,3.5
s01e07,clip_2_9195-13779,13730-13779-.mp4,7,0.913,2
s01e07,clip_3_13780-18426,13780-13815-.mp4,5,0.892,1.4
s01e07,clip_3_13780-18426,13816-13870-.mp4,7,0.861,2.2
s01e07,clip_3_13780-18426,13871-13943-.mp4,10,0.949,2.9
s01e07,clip_3_13780-18426,13944-13988-.mp4,6,0.948,1.8
s01e07,clip_3_13780-18426,13989-14094-.mp4,14,0.941,4.2
s01e07,clip_3_13780-18426,14095-14152-.mp4,8,0.932,2.3
s01e07,clip_3_13780-18426,14153-14212-.mp4,8,0.92,2.4
s01e07,clip_3_13780-18426,14213-14278-.mp4,9,0.949,2.6
s01e07,clip_3_13780-18426,14279-14330-.mp4,7,0.946,2
s01e07,clip_3_13780-18426,14331-14399-.mp4,9,0.942,2.7
s01e07,clip_3_13780-18426,14400-14452-.mp4,7,0.918,2.1
s01e07,clip_3_13780-18426,14453-14503-.mp4,7,0.96,2
s01e07,clip_3_13780-18426,14504-14547-.mp4,6,0.893,1.7
s01e07,clip_3_13780-18426,14548-14592-.mp4,6,0.819,1.8
s01e07,clip_3_13780-18426,14593-14635-.mp4,6,0.915,1.7
s01e07,clip_3_13780-18426,14636-14704-.mp4,9,0.87,2.7
s01e07,clip_3_13780-18426,14705-14752-.mp4,6,0.929,1.9
s01e07,clip_3_13780-18426,14753-14792-.mp4,5,0.867,1.6
s01e07,clip_3_13780-18426,14793-14834-.mp4,6,0.943,1.6
s01e07,clip_3_13780-18426,14835-14939-.mp4,14,0.899,4.2
s01e07,clip_3_13780-18426,14940-14988-.mp4,7,0.937,1.9
s01e07,clip_3_13780-18426,14989-15040-.mp4,7,0.93,2
s01e07,clip_3_13780-18426,15041-15100-.mp4,8,0.94,2.4
s01e07,clip_3_13780-18426,15101-15175-.mp4,10,0.923,3
s01e07,clip_3_13780-18426,15176-15228-.mp4,7,0.949,2.1
s01e07,clip_3_13780-18426,15229-15614-.mp4,49,0.84,15.4
s01e07,clip_3_13780-18426,15615-15882-.mp4,34,0.789,10.7
s01e07,clip_3_13780-18426,15883-15922-.mp4,5,0.846,1.6
s01e07,clip_3_13780-18426,15923-16051-.mp4,17,0.836,5.1
s01e07,clip_3_13780-18426,16052-16136-.mp4,11,0.849,3.4
s01e07,clip_3_13780-18426,16137-16247-.mp4,14,0.846,4.4
s01e07,clip_3_13780-18426,16248-16279-.mp4,4,0.865,1.2
s01e07,clip_3_13780-18426,16280-16315-.mp4,5,0.812,1.4
s01e07,clip_3_13780-18426,16316-16372-.mp4,8,0.829,2.2
s01e07,clip_3_13780-18426,16373-16418-.mp4,6,0.844,1.8
s01e07,clip_3_13780-18426,16419-16475-.mp4,8,0.784,2.2
s01e07,clip_3_13780-18426,16476-16595-.mp4,15,0.772,4.8
s01e07,clip_3_13780-18426,16596-16672-.mp4,10,0.83,3
s01e07,clip_3_13780-18426,16673-17110-.mp4,55,0.787,17.5
s01e07,clip_3_13780-18426,17111-17264-.mp4,20,0.836,6.1
s01e07,clip_3_13780-18426,17265-17342-.mp4,10,0.807,3.1
s01e07,clip_3_13780-18426,17343-17444-.mp4,13,0.894,4
s01e07,clip_3_13780-18426,17445-17472-.mp4,4,0.845,1.1
